タイトル,レビュー,カテゴリー,星数,参考になった数,生成元ID
　,"　
使ってみたら、とても良かったです。感謝しています。",5,2.5,0,38
　,"　
実際に使ってみたら、良い結果が得られました。ありがとうございました。",5,2.5,0,38
　,"　
使用してみたところ、思った以上に良かったです。お礼申し上げます。",5,2.5,0,38
　,"　
使ってみたら、期待以上の効果がありました。どうもありがとうございます。",5,2.5,0,38
　,"　
ありがとうございましたが、残念です。",5,2.5,0,83
　,"　
残念な気持ちですが、ありがとうございました。",5,2.5,0,83
　,"　
ありがとうございました。ただ、残念な点がありました。",5,2.5,0,83
　,"　
残念な部分もありましたが、感謝しています。",5,2.5,0,83
　,"　
どれくらい持つかはわからないけれど、まずまずの品質だ。",5,2.5,0,90
　,"　
それほど悪くはないが、耐久性については未知数だ。",5,2.5,0,90
　,"　
安定感はあるものの、長持ちするかどうかは不明だ。",5,2.5,0,90
　,"　
そこそこ良い製品だけど、どれくらい持つかはわからない。",5,2.5,0,90
　,"　
2日後に効果を実感できる。",5,2.5,0,106
　,"　
2日目から状態が良くなってきた。",5,2.5,0,106
　,"　
2日が経過してから良い感じになってきた。",5,2.5,0,106
　,"　
効果が現れるのは2日目からだ。",5,2.5,0,106
　,"　
とても素晴らしいです。",5,2.5,0,125
　,"　
とても良い感触です。",5,2.5,0,125
　,"　
非常に気に入りました。",5,2.5,0,125
　,"　
本当に素敵です。",5,2.5,0,125
　,"　
使いやすく、ちょうどいいサイズです。",5,2.5,0,166
　,"　
置くのに適していて、サイズも完璧です。",5,2.5,0,166
　,"　
ちょうどよいサイズで、置くのが簡単です。",5,2.5,0,166
　,"　
ちょうど良いサイズ感で、扱いやすいです。",5,2.5,0,166
　,"　
素晴らしい商品です。",5,2.5,0,209
　,"　
とても満足しています。",5,2.5,0,209
　,"　
すごく良い品質です。",5,2.5,0,209
　,"　
期待以上の出来栄えです。",5,2.5,0,209
　,"　
確かに素晴らしい商品です。心から推奨します。",5,2.5,0,244
　,"　
これは間違いなく良い選択です。ぜひお試しください。",5,2.5,0,244
　,"　
疑いなく優れた商品です。強くおすすめします。",5,2.5,0,244
　,"　
これに関しては確実です。本当にお勧めします。",5,2.5,0,244
　,"　
とても満足しています。  
美味しく仕上がります。",5,2.5,0,301
　,"　
すごく気に入っております。  
おいしく調理できます。",5,2.5,0,301
　,"　
かなり気に入っています。  
美味しく作ることができます。",5,2.5,0,301
　,"　
非常に好きです。  
美味しい料理ができます。",5,2.5,0,301
　,"　
他に選択肢は思いつかない。",5,2.5,0,340
　,"　
これ以外のものは考えられない。",5,2.5,0,340
　,"　
他の可能性は頭に浮かばない。",5,2.5,0,340
　,"　
これ以外には思い当たるものがない。",5,2.5,0,340
　,"　
パナソニックの商品だけあって、素晴らしい品物です。",5,2.5,0,344
　,"　
この商品はさすがパナソニック、質が良いです。",5,2.5,0,344
　,"　
パナソニックの製品はやはり良い品ですね。",5,2.5,0,344
　,"　
品質が高く、さすがパナソニックのアイテムです。",5,2.5,0,344
　,"　
この商品は非常に役立っています( ^ω^ )",5,2.5,0,379
　,"　
とても便利に使わせていただいています( ^ω^ )",5,2.5,0,379
　,"　
こちらの商品は大変重宝しています( ^ω^ )",5,2.5,0,379
　,"　
本当に助かっています( ^ω^ )",5,2.5,0,379
　,"　
購入して後悔はありません。非常に気に入っています。",5,2.5,0,406
　,"　
買った価値は十分にあります。とても満足しています。",5,2.5,0,406
　,"　
お金を無駄にしたとは思いません。とても気に入っている商品です。",5,2.5,0,406
　,"　
この商品を買って損はないです。非常に気に入っています。",5,2.5,0,406
　,"　
ポットはとても良いですね。味も素晴らしいです。",5,2.5,0,421
　,"　
このポットは素敵です。味もとても良いです。",5,2.5,0,421
　,"　
良いポットですね。味も良好です。",5,2.5,0,421
　,"　
ポットは優れていますね。味も良い感じです。",5,2.5,0,421
　,"　
十分に目的を達成できるので、特に問題はないと思います。使いやすさも感じます。",5,2.5,0,459
　,"　
使用目的をしっかりと果たしているため、問題はないと考えています。とても使いやすいです。",5,2.5,0,459
　,"　
問題なく使用目的を達成できるので、満足しています。使いやすさも魅力的です。",5,2.5,0,459
　,"　
使いやすさがあり、目的も十分に達成できるので、特に不満はありません。",5,2.5,0,459
　,"　
まあまあ良いと思います。",5,2.5,0,504
　,"　
普通に満足できる商品ですね。",5,2.5,0,504
　,"　
特に問題なく、いい感じです。",5,2.5,0,504
　,"　
悪くはなく、普通に良いです。",5,2.5,0,504
　,"　
便利で使いやすく、とても満足しています。",5,2.5,0,541
　,"　
購入して正解でした。",5,2.5,0,541
　,"　
とても使いやすく、購入して良かったと感じています。",5,2.5,0,541
　,"　
使い勝手が良く、買って良かったと思います。",5,2.5,0,541
　,"　
総じて見れば、まずまずの評価です。",5,2.5,0,563
　,"　
全体を通して、そこそこ良いと感じました。",5,2.5,0,563
　,"　
総合的には、普通のレベルだと思います。",5,2.5,0,563
　,"　
全体的に見て、悪くはないという印象です。",5,2.5,0,563
　,"　
心地よくて、静かで素晴らしい。",5,2.5,0,600
　,"　
静けさが心地よく、非常に良い。",5,2.5,0,600
　,"　
とても良くて、静かな環境が心地よい。",5,2.5,0,600
　,"　
静かで快適な雰囲気が気に入っています。",5,2.5,0,600
　,"　
問題なく使用しています。",5,2.5,0,601
　,"　
特に問題はなく、快適に使えています。",5,2.5,0,601
　,"　
問題なしで利用しています。",5,2.5,0,601
　,"　
スムーズに使用できており、問題はありません。",5,2.5,0,601
　,"　
素晴らしい",5,2.5,0,607
　,"　
とても良い",5,2.5,0,607
　,"　
最高です",5,2.5,0,607
　,"　
非常に満足しています",5,2.5,0,607
　,"　
さすがはメーカー、やはり素晴らしい。",5,2.5,0,616
　,"　
メーカー製はやっぱり優れている。",5,2.5,0,616
　,"　
やはりメーカーの製品は信頼できる。",5,2.5,0,616
　,"　
やっぱりメーカーが一番だと思う。",5,2.5,0,616
　,"　
とても気に入りました。静かです。",5,2.5,0,617
　,"　
静かな環境で、非常に満足しています。",5,2.5,0,617
　,"　
この商品は静かで、とても気に入っています。",5,2.5,0,617
　,"　
とても気に入ったのですが、特に静かさが素晴らしいです。",5,2.5,0,617
　,"　
扇風機を一台購入することに決めましたが、特に気になる点はありませんでした。全体的に期待通りの製品です。",5,2.5,0,637
