タイトル,レビュー,カテゴリー,星数,参考になった数,生成元ID
　,"　
注文した靴はサイズが合わなかったため、返品を考えていたところ、商品自体はとても良い状態でした。配送も迅速で、サポートチームの対応も親切だったので、安心して返品手続きを進めることができました。","6,7",2.5,0,48
　,"　
購入したスマートフォンは外観に傷一つなく、状態は非常に良好でした。ただ、初期設定の際にバッテリーの持ちが悪いことに気づき、サポートに問い合わせたところ、迅速に新しいバッテリーを送ってくれるとのことでした。","6,7",2.5,0,48
　,"　
届いたジャケットは思った以上にしっかりした素材で、状態も新しかったのですが、1箇所だけ糸のほつれが見つかりました。カスタマーサービスに連絡したところ、すぐに交換対応してくれるとのことだったので、信頼できるお店だと思いました。",6,2.5,0,48
　,"　
購入した掃除機は見た目が非常に綺麗で、使用感もまったくありませんでした。ただ、吸引力が弱いと感じたため、レビューを投稿したところ、すぐにサポートから改善策を提案してもらえました。全体的には良い買い物だったと思います。","1,6",2.5,0,48
　,"　
この電子レンジは、購入当初から外観に小さな傷がありましたが、機能には問題なく、使い勝手は良好です。配送時の対応も丁寧で、商品が破損していないか確認してくれました。","1,6,7",2.5,0,129
　,"　
新しく買った靴は、履いた瞬間に足にフィットしましたが、左足のかかと部分に小さなほつれが見つかりました。返品するほどではないものの、もう少し品質管理に力を入れてほしいと思います。","1,6",2.5,0,129
　,"　
このスマートフォンは、画面が非常にきれいで動作もスムーズですが、到着した時に背面に小さな傷がありました。サービスに問い合わせたところ、迅速に対応してもらい、交換の手続きを進めてくれました。","1,6",2.5,0,129
　,"　
購入したダイソンの掃除機は、吸引力が強くて満足していますが、商品状態を確認したところ、底面に小さな凹みがありました。使用には支障がないので、そのまま使うことにしましたが、今後はもっと慎重に検品してほしいです。","1,6",2.5,0,129
　,"　
先日購入したスマートフォンが届いたのですが、画面に小さな傷がついていました。機能は問題なく動いていますが、見た目が気になるので少し残念です。",6,2.5,0,145
　,"　
新しく買った靴が到着したとき、片方の靴紐がほつれていました。履き心地は良いしデザインも気に入っていますが、初めからこの状態なのはちょっと驚きでした。","1,6",2.5,0,145
　,"　
購入したテレビは、到着時の梱包はしっかりしていたものの、脚部分に小さな凹みが見つかりました。映像は素晴らしいですが、外観に傷があるのは少し不満です。","1,6",2.5,0,145
　,"　
先週届いたコーヒーメーカーには、プラスチック部分に微細な擦り傷がありました。動作には問題なく、コーヒーの味も良いのですが、見た目に気を使ってほしかったです。","1,6",2.5,0,145
　,"　
新しく購入したスマートフォンが届いたのですが、画面に小さな傷がありました。機能には問題ないものの、少し残念です。サポートに連絡したら、丁寧に対応してもらえたので、安心しました。",6,2.5,0,153
　,"　
この靴はデザインが気に入って購入したのですが、届いた時に左足のかかと部分に明らかな擦り傷がありました。返品を考えましたが、履き心地が良かったのでそのまま使うことにしました。","1,6",2.5,0,153
　,"　
家庭用掃除機を購入したのですが、ダストボックスに微細なひび割れが見つかりました。使用には支障がないため、そのまま使っていますが、次回はもっと慎重に確認したいと思います。",6,2.5,0,153
　,"　
先日購入したルームウェアは、肌触りがとても良くて満足しています。ただ、タグが縫い付けられている部分に少し糸がほつれていたのが気になりました。全体的には満足なので、気にせず着続けるつもりです。","1,6",2.5,0,153
　,"　
このスニーカーを購入したのですが、届いたときには箱が少し潰れていて心配しました。しかし、靴自体は傷一つなく、状態は非常に良かったので安心しました。履き心地も良く、長時間の使用にも耐えられそうです。","1,6",2.5,0,159
　,"　
購入したデジタルカメラが届いたとき、外箱はしっかりしていましたが、レンズに小さな傷が見つかりました。返品を考えましたが、機能には問題がなかったため、そのまま使うことにしました。サービス対応も迅速で、サポートがしっかりしている点が良かったです。",6,2.5,0,159
　,"　
このワンピースをオンラインで注文したのですが、届いてみると思った以上にシワが多かったです。ただ、洗濯してアイロンをかけたら、状態は良くなり、デザインもとても気に入っています。価格も手頃で、満足しています。","1,3,6",2.5,0,159
　,"　
電子レンジを購入したのですが、梱包がしっかりしていて安心でした。しかし、使用してみたところ、扉の閉まりが悪く、少し不安を感じています。カスタマーサポートに連絡したところ、迅速に対応してくれたので助かりました。",6,2.5,0,159
　,"　
商品が届いた時、完璧な状態で驚きました。傷や汚れもなく、まるで新品同様です。これから使うのが楽しみです。",6,2.5,0,169
　,"　
残念ながら、受け取った衣類に小さなほつれがありました。返品手続きがスムーズだったので、次回は問題なく購入できることを期待しています。",6,2.5,0,169
　,"　
電化製品の動作確認をしたところ、全て正常でした。梱包も丁寧で、配送中の損傷が全くなかったのが嬉しかったです。","6,7",2.5,0,169
　,"　
商品が思ったよりも状態が悪く、使用感が強く感じられました。カスタマーサービスに連絡したところ、迅速に対応していただけたので安心しました。","6,7",2.5,0,169
　,"　
商品が届いた時、箱の中に傷がありましたが、動作には問題ありませんでした。ただ、見た目が気になるので、もう少し丁寧に梱包してほしかったです。",6,2.5,0,182
　,"　
購入した靴は、サイズはぴったりだったものの、片方のかかとに小さな傷がついていました。返品も考えましたが、履いてしまったのでそのまま使います。",6,2.5,0,182
　,"　
電化製品は問題なく動作していますが、外観に小さなへこみがあったのが残念です。もう少し検品をしっかりしてほしいと思いました。",6,2.5,0,182
　,"　
衣類を購入したところ、タグが外れていたため、返品を希望しました。対応は迅速でしたが、商品状態には不満が残ります。","6,7",2.5,0,182
　,"　
商品は思った以上に良い質感でしたが、到着した際に一部に小さな傷がありました。カスタマーサポートに連絡したところ、迅速に交換手続きをしてもらえたので、安心して使用しています。","1,6,7",2.5,0,193
　,"　
こちらの靴はデザインが気に入っていますが、届いた時に左足のかかと部分に擦り傷がありました。交換を依頼したら、すぐに新しいものを送ってもらえたので、対応には満足しています。","1,6,7",2.5,0,193
　,"　
タブレットは素晴らしい性能を持っていますが、画面に小さなひびが入っている状態で届きました。サポートに問い合わせたところ、すぐに返送の手続きをしてくれたので、次回の購入も考えています。","1,6,7",2.5,0,193
　,"　
このバッグは非常に使いやすいですが、買った時に内側の生地にほつれが見つかりました。メーカーに連絡したところ、すぐに修理対応をしてもらえたので、今は快適に使っています。","1,6",2.5,0,193
　,"　
新しく購入した靴はデザインが素敵ですが、左足のかかと部分に小さな傷があり、少し残念でした。","1,6",2.5,0,196
　,"　
このスマートフォンは動作がスムーズで気に入っていますが、画面に小さなヒビが入っていたのが残念です。","1,6",2.5,0,196
　,"　
衣類の質感はとても良いのですが、届いた時にタグが切れている状態だったので、少し驚きました。","1,6",2.5,0,196
　,"　
電気ケトルは使いやすいですが、底面に小さな傷がついていたため、未使用の状態でも気になりました。","1,6",2.5,0,196
　,"　
先日購入した中古のスマートフォンは「良好」とのことでしたが、実際には画面に小さな傷がいくつかあり、少し残念でした。ただ、動作には問題がないので、使い続けるつもりです。",6,2.5,0,203
　,"　
衣類を注文したところ、タグが外れた状態で届きましたが、他は特に問題なく、状態は「良好」と言えます。ただ、洗濯してから着用しようと思います。",6,2.5,0,203
