タイトル,レビュー,カテゴリー,星数,参考になった数,生成元ID
　,"　
注文してから配送までが非常にスムーズでした。わずか2日で手元に届き、使いたい時にすぐに使用できたので大満足です。商品自体も素晴らしい品質でした。",7,2.5,0,48
　,"　
先週購入した靴が、思ったよりも早く届きました。通常の配送時間を大幅に短縮してくれたおかげで、週末のイベントに間に合ったので感謝しています。",7,2.5,0,48
　,"　
海外からの配送だったため、少し時間がかかるかと思っていましたが、予想よりも早く届きました。商品自体はもちろん素晴らしいものでしたが、配送の速さにも驚きました。",7,2.5,0,48
　,"　
購入したタブレットが、注文から3日後に手元に届きました。迅速な配送のおかげで、すぐに設定を始めることができてとても助かりました。",7,2.5,0,48
　,"　
新しいスマートフォンを注文したんですが、予想以上に早く届いてとても驚きました。素早い配送に感謝です！",7,2.5,0,59
　,"　
このジャケットを買ったのですが、配送が遅れるとの連絡があったため心配していました。しかし、実際には予定より早く届いて助かりました。",7,2.5,0,59
　,"　
電気ケトルを購入したところ、思ったよりも早く手元に届きました。迅速な配送で、すぐに使い始めることができました。",7,2.5,0,59
　,"　
洗濯機の配送が遅れるかと思ったら、なんと予定よりも早く届けられました。思いがけない嬉しいサプライズでした！",7,2.5,0,59
　,"　
こちらのスマートフォンを注文したところ、発送が非常に迅速で、翌日には手元に届きました。使い始めてみると、カメラの性能が素晴らしく、満足しています。","1,7",2.5,0,86
　,"　
ジャケットを購入した際、配送が遅れてしまったため、イベントに間に合わず残念な思いをしました。ただ、商品自体はとても良かったので、次回は早めに注文したいと思います。",7,2.5,0,86
　,"　
新しいゲーム機を手に入れるために注文しましたが、到着が遅れてしまったため、友人とのプレイができず非常に残念でした。次回は配送のスピードにも注意したいです。",7,2.5,0,86
　,"　
家庭用プロジェクターを注文したところ、配送が早くて驚きました。すぐに映画鑑賞を楽しむことができ、大変満足しています。",7,2.5,0,86
　,"　
注文してから3日後に届きましたが、思ったよりも早くて驚きました。新しいスニーカーは履き心地が良く、配送もスムーズでした。","1,7",2.5,0,123
　,"　
このテレビは注文してから1週間後に届きましたが、待った甲斐がありました。配送が遅れたことはありましたが、やはり大画面は最高です。",7,2.5,0,123
　,"　
先週購入したカメラは、翌日に手元に届いて嬉しかったです。迅速な配送のおかげで、週末の旅行に間に合いました。",7,2.5,0,123
　,"　
衣類をネットで購入したところ、予定よりも早く届いたおかげで試着する時間がありました。配送が早かったので、すぐに着ることができて満足です。",7,2.5,0,123
　,"　
商品の到着が遅れてしまい、予定よりも数日遅れましたが、商品自体は満足しています。配送の迅速さがもう少し改善されれば、さらに良いと思います。",7,2.5,0,126
　,"　
洗濯機を購入しましたが、配送が非常にスムーズで驚きました。注文から2日後には届き、すぐに使い始めることができました。",7,2.5,0,126
　,"　
新しいスマートフォンを注文したところ、配送が遅れてしまったのが残念です。ただ、スタッフの対応は良かったので、次回も利用したいです。",7,2.5,0,126
