タイトル,レビュー,カテゴリー,星数,参考になった数,生成元ID
　,"　
使ってみたら楽しかったです！また購入したいと思います。",5,2.5,0,38
　,"　
このバッグはとても嬉しいです。使いやすさも抜群ですね。",5,2.5,0,38
　,"　
服を着たらいい感じでした。満足しています。",5,2.5,0,38
　,"　
この靴を履いたら、楽しい気分になりました。良い買い物でした！",5,2.5,0,38
　,"　
このバッグはとても素敵です。",5,2.5,0,83
　,"　
使用していて嬉しい気持ちになります。",5,2.5,0,83
　,"　
とても満足しています。",5,2.5,0,83
　,"　
使いやすくて楽しいです。",5,2.5,0,83
　,"　
これ、結構良い感じです。",5,2.5,0,90
　,"　
使ってみたら、楽しかったです。",5,2.5,0,90
　,"　
思ったより嬉しい結果でした。",5,2.5,0,90
　,"　
まあまあ良いと思いますが、詳しくはわからないです。",5,2.5,0,90
　,"　
このバッグは本当に素晴らしいです！",5,2.5,0,106
　,"　
使ってみて、とても楽しい気分になりました。",5,2.5,0,106
　,"　
商品が届いてからずっと嬉しい気持ちです。",5,2.5,0,106
　,"　
この靴は最高に良いです！",5,2.5,0,106
　,"　
このバッグは最高です！",5,2.5,0,125
　,"　
とても満足しています。",5,2.5,0,125
　,"　
本当に嬉しい買い物でした。",5,2.5,0,125
　,"　
このシューズは素晴らしいです！",5,2.5,0,125
　,"　
使いやすくて、すごく満足しています。",5,2.5,0,166
　,"　
この商品はとても気に入っています、楽しいです。",5,2.5,0,166
　,"　
見た目が素敵で、嬉しい気持ちになります。",5,2.5,0,166
　,"　
すごく便利で、毎日使いたいです。",5,2.5,0,166
　,"　
このカバンは本当に良いです。",5,2.5,0,209
　,"　
シャンプーの香りがとても嬉しいです。",5,2.5,0,209
　,"　
この靴は楽しい気分にさせてくれます。",5,2.5,0,209
　,"　
その時計は素晴らしいです。",5,2.5,0,209
　,"　
このバッグは最高です！使っていてとても楽しい気分になります。",5,2.5,0,244
　,"　
洗濯機は素晴らしい！毎回使うのが嬉しいです。",5,2.5,0,244
　,"　
この靴はとても良い感じです！履いているだけで幸せになります。",5,2.5,0,244
　,"　
このスマートフォン、最高に良いです！使っていると楽しい気持ちになります。",5,2.5,0,244
　,"　
このバッグは素敵です。",5,2.5,0,301
　,"　
とても楽しい体験でした。",5,2.5,0,301
　,"　
このゲームは最高です！",5,2.5,0,301
　,"　
シンプルで使いやすいと思います。",5,2.5,0,301
　,"　
このカメラは最高です！写真を撮るのが楽しくて仕方ありません。友達にも勧めたいと思います。満足しています。",5,2.5,0,340
　,"　
とても満足しています。
   これは本当に素晴らしい商品です。",5,2.5,0,344
　,"　
使ってみて嬉しい気持ちになりました。
   期待以上の体験です。",5,2.5,0,344
　,"　
購入してよかったです。
   心から楽しめるアイテムです。",5,2.5,0,344
　,"　
おすすめできる商品です。
   毎日使いたくなります。",5,2.5,0,344
　,"　
このバッグは最高です！使うのが楽しみです！",5,2.5,0,379
　,"　
とても満足しています！毎日使っていますが、飽きません。",5,2.5,0,379
　,"　
購入して良かったです！気分が上がります！",5,2.5,0,379
　,"　
これを買って本当に良かった！ずっと使いたいです！",5,2.5,0,379
　,"　
すごく楽しいです！",5,2.5,0,406
　,"　
思った以上に嬉しい体験でした。",5,2.5,0,406
　,"　
素晴らしい商品ですね！",5,2.5,0,406
　,"　
買って良かったと感じています。",5,2.5,0,406
　,"　
このバッグは素晴らしいです。使っていてとても嬉しいです。",5,2.5,0,421
　,"　
この靴は最高です。履いていると楽しい気分になります。",5,2.5,0,421
　,"　
このスピーカーはとても良いです。音を聞くのが楽しいです。",5,2.5,0,421
　,"　
このコーヒーメーカーは良いですね。毎朝使うのが楽しみです。",5,2.5,0,421
　,"　
この椅子はとても良いです。座っていて心地よい感じがします。",5,2.5,0,459
　,"　
このスマートフォンは素晴らしいです。使っていて楽しいです。",5,2.5,0,459
　,"　
このバッグ、すごくいい感じです！",5,2.5,0,504
　,"　
商品が届いて嬉しいです！",5,2.5,0,504
　,"　
使い勝手が良さそうです。",5,2.5,0,504
　,"　
とても満足しています！",5,2.5,0,504
　,"　
このカメラは最高です！",5,2.5,0,541
　,"　
すごく楽しい買い物でした。",5,2.5,0,541
　,"　
とても満足しています。",5,2.5,0,541
　,"　
おすすめです！",5,2.5,0,541
　,"　
このバッグはなかなか良い感じです。",5,2.5,0,563
　,"　
使ってみたら、思ったより悪くなかったです。",5,2.5,0,563
　,"　
商品はまあまあ満足しています。",5,2.5,0,563
　,"　
期待していたほどではなかったけれど、悪くはないです。",5,2.5,0,563
　,"　
とても素敵な商品だと思います。",5,2.5,0,600
　,"　
このバッグ、使っていて楽しいです。",5,2.5,0,600
　,"　
シンプルで良い感じです。",5,2.5,0,600
　,"　
とても気に入っています。",5,2.5,0,601
　,"　
使っていて楽しいです。",5,2.5,0,601
　,"　
すごく満足しています。",5,2.5,0,601
　,"　
このバッグはとても良いです。",5,2.5,0,607
　,"　
使ってみて、嬉しい気持ちになりました。",5,2.5,0,607
　,"　
この靴は楽しい気分にさせてくれます。",5,2.5,0,607
　,"　
とても良い買い物でした。",5,2.5,0,607
　,"　
このバッグ、最高です！",5,2.5,0,616
　,"　
使ってみて、すごく楽しい気分になりました！",5,2.5,0,616
　,"　
この靴、めちゃくちゃ良かった！",5,2.5,0,616
　,"　
使っていて、なんだか嬉しい気持ちになります！",5,2.5,0,616
　,"　
使いやすいです。",5,2.5,0,617
　,"　
とても満足しています。",5,2.5,0,617
　,"　
いい感じです。",5,2.5,0,617
　,"　
楽しく使っています。",5,2.5,0,617
　,"　
このバッグは本当に素晴らしいです。",5,2.5,0,745
　,"　
使用するのが楽しいです！",5,2.5,0,745
　,"　
もう一度購入したいと思います。",5,2.5,0,745
　,"　
使ってみたら、すごく嬉しかったです。とても良い買い物でした。感謝しています。",5,2.5,0,38
　,"　
この服を着てみたら、楽しい気分になりました。素敵な商品ですね。ありがとうございます。",5,2.5,0,38
　,"　
使ってみたら、満足感がありました。いい経験でした。また購入したいです。",5,2.5,0,38
　,"　
この靴を履いてみたら、心が弾みました。素晴らしい商品です。感謝です。",5,2.5,0,38
　,"　
使ってみたら、すごく楽しい気分になりました。",5,2.5,0,83
　,"　
この服はとても嬉しい気持ちにさせてくれます。",5,2.5,0,83
　,"　
商品が届いて、なんだかワクワクしました。",5,2.5,0,83
　,"　
使っていると、なんとなく良い感じがします。",5,2.5,0,83
　,"　
使ってみたけど、まあまあかな。",5,2.5,0,90
　,"　
使いやすさは普通だけど、特に良い点は見当たらない。",5,2.5,0,90
　,"　
このバッグはとても嬉しいです！",5,2.5,0,106
　,"　
使ってみて楽しい気分になります。",5,2.5,0,106
　,"　
昨日届いた靴、やっぱり良いです！",5,2.5,0,106
　,"　
このコーヒーメーカー、思った以上に楽しいです。",5,2.5,0,106
　,"　
すごくいい感じ！",5,2.5,0,125
　,"　
とても満足しています。",5,2.5,0,125
　,"　
最高の体験でした。",5,2.5,0,125
　,"　
すごく嬉しかったです！",5,2.5,0,125
　,"　
このバッグはとても良い感じです。使っていて嬉しい気持ちになります。",5,2.5,0,166
　,"　
この靴は履き心地がとても良いです。歩くのが楽しくなります。",5,2.5,0,166
　,"　
このバッグは素晴らしいです。",5,2.5,0,209
　,"　
商品の質感がとても良く、嬉しい気持ちになりました。",5,2.5,0,209
　,"　
使ってみて楽しいと感じました。",5,2.5,0,209
　,"　
このバッグは最高です！使っていてとても楽しいです。",5,2.5,0,244
　,"　
この靴は素晴らしいです！履いているだけで嬉しい気持ちになります。",5,2.5,0,244
　,"　
このスマートフォンは素敵です！毎日使うのが楽しみです。",5,2.5,0,244
　,"　
このコーヒーメーカーは大好きです！毎朝の楽しみになっています。",5,2.5,0,244
　,"　
とても満足しています。",5,2.5,0,301
　,"　
本当に便利です。",5,2.5,0,301
　,"　
使っていて楽しいです。",5,2.5,0,301
　,"　
見た目が素敵です。",5,2.5,0,301
　,"　
このパソコンはとても良いです。使っていて楽しいです。",5,2.5,0,340
　,"　
この洋服は素敵です。着ると嬉しい気持ちになります。",5,2.5,0,340
　,"　
このスマートフォンは最高です。いつも使うのが楽しみです。",5,2.5,0,340
　,"　
このスピーカーは素晴らしいです。音楽を聴くのが幸せです。",5,2.5,0,340
　,"　
とても良い商品です。購入してよかったと思います。",5,2.5,0,344
　,"　
使用してみたところ、満足しています。楽しい時間を過ごせました。",5,2.5,0,344
　,"　
いい感じのアイテムです。買ってみる価値があります。",5,2.5,0,344
　,"　
この商品は最高です！嬉しい気持ちになりました。",5,2.5,0,344
　,"　
使用してみたら、とても満足しています！とても良い商品です。",5,2.5,0,379
　,"　
すごく楽しい体験ができました！また購入したいです。",5,2.5,0,379
　,"　
とても良い商品です。",5,2.5,0,406
　,"　
使ってみたら嬉しかったです。",5,2.5,0,406
　,"　
これを買って大満足です。",5,2.5,0,406
　,"　
楽しく使えています。",5,2.5,0,406
