タイトル,レビュー,カテゴリー,星数,参考になった数,生成元ID
　,"　
この商品は前のモデルと比べると、使い勝手が格段に良くなりました。特に操作が直感的で、すぐに慣れることができました。","1,2",2.5,0,10000
　,"　
価格帯では他のブランドよりも高いですが、性能はその分優れていると感じました。特に耐久性が高いので、長く使えると思います。","1,2,3",2.5,0,10000
　,"　
今まで使用していた製品は機能が限られていましたが、こちらの方がはるかに多機能で満足しています。特に便利なオプションが増えたのが嬉しいです。","1,2",2.5,0,10000
　,"　
前のはデザインがシンプルでしたが、これはスタイリッシュで部屋に映えます。見た目だけでなく、使いやすさも向上していると思います。","1,2",2.5,0,10000
　,"　
以前は他社の製品を使っていましたが、これにしてよかったです。性能が高い上に、アフターサービスも充実していて安心感があります。","1,2,6",2.5,0,10000
　,"　
この靴は他のブランドと比べると、履き心地が格段に良いです。","1,2",2.5,0,10000
　,"　
昨年モデルよりも、この新しいモデルの方がデザインが洗練されていて、見た目が良いです。","1,2",2.5,0,10000
　,"　
このスマートフォンは前の機種よりもバッテリー持ちが高いので、長時間使えるのが嬉しいです。","1,2",2.5,0,10000
　,"　
最初は安い方の製品を選んだけど、こちらの高品質なものを試してよかったと感じています。","2,3",2.5,0,10000
　,"　
今まで使っていた化粧品は効果が薄かったけれど、こちらの製品に変えてから肌の状態が改善して本当に満足しています。","1,2",2.5,0,10000
　,"　
以前使っていたスマートフォンと比べると、こちらのカメラはずっとクリアな画像が撮れるので非常に満足しています。","1,2",2.5,0,10000
　,"　
この靴は他のブランドのものより良いフィット感があり、長時間履いていても疲れにくいです。","1,2",2.5,0,10000
　,"　
前のモデルは音質がイマイチだったけど、今回購入したスピーカーは圧倒的に音が良くて驚きました。","1,2",2.5,0,10000
　,"　
今まで使っていた洗剤は香りが強すぎたけれど、こちらのものは自然な香りで使ってよかったです。","1,2",2.5,0,10000
　,"　
このヘアトリートメントは、他の製品に比べると価格が少し高いですが、その効果は抜群で本当に髪がしっとりします。","1,2,3",2.5,0,10000
