タイトル,レビュー,カテゴリー,星数,参考になった数,生成元ID
　,"　
商品に欠陥があり、片方しか作動しなかったのですが、すぐにメッセージを送ったところ迅速に対応していただき、新しい商品が届くのを待っています。試してみたところ、風が涼しくて、音もそれほど気になりませんでしたので、評価は4にしました。","1,6,7",2.5,0,48
　,"　
残念ながら届いた商品は片方が動かないという不具合がありましたが、メッセージを送ったら迅速に対応してもらえ、新しい商品が到着するのを待っているところです。片方だけの動作でしたが、風は涼しく、音も気にならなかったので、評価は4としました。","1,6,7",2.5,0,48
　,"　
届いた商品が片方しか動かなかったため、残念でしたが、すぐにメッセージを送ったところ、迅速に対応してくれました。新しい商品が届くのを待つ間、試してみたところ風が涼しく、音もあまり気にならなかったため、星は4にしました。","1,6,7",2.5,0,48
　,"　
今回届いた商品は片方が作動しないという欠陥がありましたが、メッセージを送ると迅速に対応していただき、新しい商品を待っているところです。風の涼しさは感じられましたし、音もそれほど気にならなかったため、評価は4にしました。","1,6,7",2.5,0,48
　,"　
屋外での使用が待ち遠しいです。  
配送が予定より早く届いて、とても助かりました。  
まだ外では使っていませんが、室内での音はそれほど気になりませんでした。","1,4,7",2.5,0,59
　,"　
外で使うのが楽しみで仕方ありません。  
早めに届いた配送に感謝しています。  
まだ外では試していないですが、室内での起動音はあまり気にならなかったです。","1,4,7",2.5,0,59
　,"　
屋外での使用が楽しみです。  
予想より早く届いた配送はとてもありがたかったです。  
まだ外では使っていないものの、室内の音は気になりませんでした。","1,4,7",2.5,0,59
　,"　
外で使用するのが楽しみでたまりません。  
配送が予定より早くて助かりました。  
まだ外では使っていないですが、室内での音は特に気にならなかったです。","1,4,7",2.5,0,59
　,"　
迅速に商品が届いたので助かりましたが、期待していた涼感プレートはあまり冷たく感じず、畑仕事で使うには残念でした。しかし、家の中では普通に涼しく、特に火を使う台所では役立ったと思います。さらに、親切で丁寧な対応をしていただき、とても良かったです。","1,4,7",2.5,0,86
　,"　
商品は注文後すぐに届き、非常に助かりましたが、畑仕事のために購入した涼感プレートは期待外れでした。全然冷たく感じず、暖かい風が吹いてきてガッカリしました。ただ、家の中では普通に涼しく、火を使う台所では良かったと感じました。最後に、親切で丁寧なサポートを受けられたことは大変満足でした。","1,4,7",2.5,0,86
　,"　
すぐに商品が届いたのは嬉しかったですが、涼感プレートは全く冷たくなく、畑仕事に使うには残念でした。その一方で、家の中では涼しく、特に火を使う台所では良い結果が得られたと思います。さらに、親切かつ丁寧な説明と対応をしていただき、本当に良かったです。","1,4,7",2.5,0,86
