タイトル,レビュー,カテゴリー,星数,参考になった数,生成元ID
　,"　
5～6年前に購入した羽根型が壊れたため、新たにこちらを購入しましたが、風がしっかり顔に届くので非常に満足しています。ただ、内側の丸い部分から風が出ないというレビューの意味が理解できたのは少し残念でした。また、説明書には保証延長のためのLINE登録について記載がありましたが、実際には問い合わせや登録ができないようで、保証期間内に故障するのが心配です。","1,2",2.5,0,3
　,"　
昔に購入した羽根型が壊れたため、こちらを新しく買ったのですが、風が顔に直接当たるのでとても良いです。しかし、内側の丸い部分から風が出ないというレビューを見て、その意味を理解できたのが少し残念です。また、説明書に記載されていた保証延長のLINE登録については、実際には存在しないようで、保証期間内に故障した場合が心配です。","1,2",2.5,0,3
　,"　
5～6年前の羽根型が壊れてしまったので、こちらを購入したところ、顔に風がしっかり当たるのがとても良いです。しかし、内側の丸い部分から風が出ないというレビューの意味を理解したのは少し残念でした。さらに、説明書には保証延長のLINE登録が書かれていましたが、問い合わせや登録が全くできないようで、保証期間内に壊れるかもしれないことが不安です。","1,2",2.5,0,3
　,"　
もう一度購入したけれど、別のブランドになってしまっていて、比較してみると以前の方が風の強さがあったように感じる。個人的にはまあまあだと思う。","1,2",2.5,0,11
　,"　
リピートしたけど、ブランドが変わってしまい、前のものと比べると風が強いのは以前の方だった。自分としては普通かな。","1,2",2.5,0,11
　,"　
また購入したものの、違うブランドになっていて、比較すると前の方が風が強かった気がする。自分的にはまあまあの評価だ。","1,2",2.5,0,11
　,"　
この商品は非常に満足のいくものでした。  
・風力は電源ボタンを押すたびに調整できました。  
・本日、日中に使ってみたところ、手持ちの扇風機よりもかなり風が強く、両手が空くのでとても楽でした。  
・羽がないとされていますが、内部には左右に直径4～5㎝の風車がそれぞれ1つずつ組み込まれており、見た目は羽なしです。  
・首の後ろにある金属プレートは最初は冷たいですが、すぐに体温や外気で暖かくなりました。私の使い方が間違っていたのかもしれません。  
・バッテリーについては十分満足していますが、屋外で長時間使用する際は注意が必要かもしれません。  
・通勤や通学で1時間、往復2時間と考え、平日5日間で約10時間使用し、週末に充電するサイクルになると思います。  
・全体的な耐久性についても期待しています。","1,2,4",2.5,0,14
　,"　
非常に優れた商品だと感じました。  
・風力は電源ボタンを押す度に変えることができます。  
・今日の昼間に試したところ、手持ちの扇風機よりもかなり強い風が出て、両手が開放されるので楽に使えました。  
・羽なしと表現されていますが、本体内部には直径4～5㎝の風車が左右に各1個ずつ搭載されているため、見た目は羽なしです。  
・首の後ろにある金属プレートは初めは冷たく感じましたが、やがて体温や外気で温かくなりました。私の使用方法が悪かったのかもしれません。  
・バッテリーの性能には満足していますが、屋外での長時間使用には注意が必要だと思います。  
・通勤で1時間、往復2時間と仮定し、平日5日間で約10時間使用し、週末に充電するパターンになるでしょう。  
・耐久性についても全体的に期待しています。","1,2,4",2.5,0,14
　,"　
この商品はとても優れています。  
・風力は電源ボタンを押す度に調整可能です。  
・今日の昼間に使用した結果、手持ちの扇風機よりも風量がかなりあり、両手が自由になるので楽でした。  
・羽がないとされていますが、内蔵されている風車は左右にそれぞれ直径4～5㎝のものがあり、見た目は羽なしです。  
・首の後ろの部分に金属プレートがあり、初めは冷たいですが、体温や外気で次第に暖かくなってしまいました。私の使い方が不適切だったのかもしれません。  
・バッテリーについては特に問題ないと感じていますが、屋外で長時間使用する際には考慮が必要だと思います。  
・通勤通学で1時間、往復2時間と仮定して、平日5日間使用し、週末に充電するというサイクルになるかと思います。  
・全体的な耐久性についても期待しています。","1,2,4",2.5,0,14
　,"　
他の機種も買ったことがありますが、こちらの製品は風量が少し弱いものの、より強く感じました。同じような品物です。充電が一度フルにすれば、通勤時間の往復3時間以上は持ちます。","1,2,4",2.5,0,30
　,"　
異なる機種も試しましたが、こちらの方が風量は弱いながらも、実際には強いと感じました。同様のアイテムですが、充電はフル充電で通勤の往復が3時間以上持つので十分です。","1,2,4",2.5,0,30
　,"　
他のモデルも購入しましたが、こちらの製品は風量が弱いにもかかわらず、意外と強い印象があります。同じような商品で、充電が一度のフル充電で通勤の往復3時間以上は持つので非常に満足しています。","1,2,4",2.5,0,30
　,"　
まあまあの評価ですね。ただの先端にファンが付いているだけの商品とは異なり、価格に見合った品質と言えるでしょう。","1,2,3",2.5,0,32
　,"　
そこそこ良い商品だと思います。ただ、単に先端にファンがついているだけのものとは違って、値段に見合った価値があると感じます。","1,2,3",2.5,0,32
　,"　
まあまあのレベルでしょうか。ただの先端にファンが付いているだけの品物ではなく、値段相応の性能だと思います。","1,2,3",2.5,0,32
　,"　
他の商品と比較して値段が安かったので、レビューが良いのを見てセールで購入しましたが、思ったよりも満足しています。サイズが少し大きいかなと感じましたが、重さはあまり気になりませんでした。最大音量にしても、音がうるさく感じることはありません。","1,2,3",2.5,0,54
　,"　
レビューが良かったので、セールで他商品より安く買ったのですが、期待以上の品質に感じています。サイズは少し大きいと思いましたが、重さは気になりませんでした。最大音量でもそれほど音が気にならないのが良いです。","1,2,3",2.5,0,54
　,"　
セールで購入した際、他の商品よりも安かったのでレビューを参考にしましたが、思っていた以上に良い商品でした。サイズがやや大きいかなと思ったものの、重さはそれほど気になりません。最大音量でも、騒音が気になることはありませんでした。","1,2,3",2.5,0,54
　,"　
充電が早く、バッテリーの持ちも良いです。この前Amazonで購入した同じタイプと比べると、非常に長持ちで充電もすぐに終わり、暑がりな私にはとても助かっています。冷却部分は冷たくは感じませんが、以前のモデルは風が当たらないことが多かったのに対し、こちらはフィット感が良く、猛暑の中では強めの設定でないと風を感じにくいです。","1,2,4",2.5,0,56
　,"　
充電スピードが速く、バッテリーも長持ちです。少し前にAmazonで購入した同じモデルと比べて、バッテリーが持続する上に充電が早く終わるので、暑がりの私にとっては非常に助かっています。冷却部分はあまり冷たく感じないですが、以前のものは風が当たらないことが多かったのに対し、こちらはフィット感が優れていて、猛暑時には強めの風でないと涼しさを感じにくいです。","1,2,4",2.5,0,56
　,"　
充電が迅速で、バッテリーの持ちも優れています。最近Amazonで購入した同じタイプと比較すると、充電が早くバッテリーがよく持つので、暑がりな私には非常にありがたいです。冷却部分は冷たくは感じませんが、前のモデルでは風が正面に当たらないことがありましたが、こちらはフィット感が良好で、猛暑時には強めの風でないと涼しさを感じません。","1,2,4",2.5,0,56
　,"　
ペルチェ素子だと思っていたら、実際にはただの首掛け扇風機だった。","1,2",2.5,0,71
